target,mixture_size,sources,run_id,seed,checkpoint_step,roc_auc_ovr_macro,f1_macro,accuracy
covid_political,1,ukr_rus_suspended,specialist_ukr_rus_suspended_s0,0,100,0.8533010450318936,0.7369034182011724,0.7773356049432946
covid_political,1,ukr_rus_suspended,specialist_ukr_rus_suspended_s0,0,300,0.8786850830850302,0.7669992627624946,0.8056502059706047
covid_political,1,ukr_rus_suspended,specialist_ukr_rus_suspended_s0,0,900,0.8884365360961083,0.7768878904418764,0.8143085999084575
covid_political,1,ukr_rus_suspended,specialist_ukr_rus_suspended_s0,0,2500,0.9032284672848269,0.8007327554192568,0.8379062198036922
covid_political,2,"ukr_rus_suspended,election2020",ladder_k2_ukr_rus_suspended-election2020_s0,0,100,0.9238124180783907,0.8469545298225629,0.8821136144026852
covid_political,2,"ukr_rus_suspended,election2020",ladder_k2_ukr_rus_suspended-election2020_s0,0,300,0.8156194795516105,0.6759956580211985,0.7184305548492091
covid_political,2,"ukr_rus_suspended,election2020",ladder_k2_ukr_rus_suspended-election2020_s0,0,900,0.7831654631528004,0.6229922208590356,0.6483496923155164
covid_political,2,"ukr_rus_suspended,election2020",ladder_k2_ukr_rus_suspended-election2020_s0,0,2500,0.8513410899649441,0.67213435426683,0.6948202207191171
covid_political,3,"ukr_rus_suspended,election2020,twibot20",ladder_k3_ukr_rus_suspended-election2020-twibot20_s0,0,100,0.8972780299409465,0.8217496239511985,0.8619615521537913
covid_political,3,"ukr_rus_suspended,election2020,twibot20",ladder_k3_ukr_rus_suspended-election2020-twibot20_s0,0,300,0.8945524329441789,0.7929175240980744,0.8342063774602044
covid_political,3,"ukr_rus_suspended,election2020,twibot20",ladder_k3_ukr_rus_suspended-election2020-twibot20_s0,0,900,0.7541179098955488,0.5984272374618892,0.6249046432385699
covid_political,3,"ukr_rus_suspended,election2020,twibot20",ladder_k3_ukr_rus_suspended-election2020-twibot20_s0,0,2500,0.7922280808698678,0.6195690637373081,0.642018003356558
covid_political,4,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference",ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0,0,100,0.8729540649848573,0.7906866909263184,0.8337232365356253
covid_political,4,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference",ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0,0,300,0.8929298724721317,0.7953708815471243,0.8360753699842344
covid_political,4,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference",ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0,0,900,0.7996531602747458,0.6338936185559128,0.6634033463866145
covid_political,4,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference",ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0,0,2500,0.7976641273002272,0.6262701373916819,0.6520495346590042
covid_political,5,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora",ladder_k5_ukr_rus_suspended-election2020-twibot20-facebook_page_reference-cora_s0,0,100,0.8831606781817705,0.7964458828265727,0.8370035091288206
covid_political,5,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora",ladder_k5_ukr_rus_suspended-election2020-twibot20-facebook_page_reference-cora_s0,0,300,0.8989518567785197,0.8176413694287001,0.8578167115902965
covid_political,5,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora",ladder_k5_ukr_rus_suspended-election2020-twibot20-facebook_page_reference-cora_s0,0,900,0.8752760149124958,0.7500880095727238,0.7891344148909119
covid_political,5,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora",ladder_k5_ukr_rus_suspended-election2020-twibot20-facebook_page_reference-cora_s0,0,2500,0.8013373006153419,0.6392258707936473,0.669518893352998
covid_political,6,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",loo_covid_political_s0,0,100,0.8896146672299312,0.8005104118029978,0.8400930681991557
covid_political,6,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",loo_covid_political_s0,0,300,0.8903811399322409,0.8123969335610162,0.8543457254742409
covid_political,6,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",loo_covid_political_s0,0,900,0.899132744106486,0.7992358726842286,0.8386563596602756
covid_political,6,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",loo_covid_political_s0,0,2500,0.8300063049234835,0.6802292088963025,0.7171209886589025
