from_step,to_step,target,model_id,endpoint,mixture_size,donors,roc_auc_delta,accuracy_delta,f1_delta
500,750,covid_political,labmix500_k1_bot,heldout,1,twibot20,0.02198175925925927,0.06299999999999994,0.06356271733680707
500,750,covid_political,labmix500_k1_cp,target_only,1,covid_political,0.03802835185185183,0.017416666666666636,0.03347963532744003
500,750,covid_political,labmix500_k1_elec,heldout,1,election2020,0.07073335185185181,0.04674999999999996,0.038054800348727325
500,750,covid_political,labmix500_k1_fb,heldout,1,facebook_page_reference,-0.020183370370370324,-0.007916666666666683,-0.005917220693697711
500,750,covid_political,labmix500_k1_susp,heldout,1,ukr_rus_suspended,-0.04281024074074069,-0.1629166666666667,-0.13830713741690714
500,750,covid_political,labmix500_k2_elec-bot,heldout,2,"election2020,twibot20",0.03392001851851845,0.013666666666666605,0.028555796756146168
500,750,covid_political,labmix500_k2_elec-fb,heldout,2,"election2020,facebook_page_reference",0.08497912962962972,0.1415833333333334,0.1583104198425731
500,750,covid_political,labmix500_k2_elec-susp,heldout,2,"election2020,ukr_rus_suspended",-0.045123111111111225,-0.0698333333333333,-0.09496976822792214
500,750,covid_political,labmix500_k2_fb-bot,heldout,2,"facebook_page_reference,twibot20",-0.000520462962963042,-0.02100000000000002,-0.025986041591124054
500,750,covid_political,labmix500_k2_fb-susp,heldout,2,"facebook_page_reference,ukr_rus_suspended",-0.007188907407407408,-0.04125000000000001,-0.04319196295089678
500,750,covid_political,labmix500_k2_susp-bot,heldout,2,"ukr_rus_suspended,twibot20",0.01338312962962962,-0.0055833333333333846,-0.002618081635695102
500,750,covid_political,labmix500_k3_elec-fb-bot,heldout,3,"election2020,facebook_page_reference,twibot20",0.047004666666666584,0.0385833333333333,0.0428006353557705
500,750,covid_political,labmix500_k3_elec-fb-susp,heldout,3,"election2020,facebook_page_reference,ukr_rus_suspended",-0.03606983333333347,-0.08533333333333337,-0.10260179715055606
500,750,covid_political,labmix500_k3_elec-susp-bot,heldout,3,"election2020,ukr_rus_suspended,twibot20",0.0003504814814814239,-0.0071666666666666545,-0.009154534122284952
500,750,covid_political,labmix500_k3_fb-susp-bot,heldout,3,"facebook_page_reference,ukr_rus_suspended,twibot20",0.02884272222222206,0.06583333333333341,0.08024443740487985
500,750,covid_political,labmix500_k4_elec-fb-susp-bot,heldout,4,"election2020,facebook_page_reference,ukr_rus_suspended,twibot20",0.007076481481481323,0.03166666666666662,0.04387872366961976
500,750,covid_political,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",0.03358168518518512,0.08191666666666675,0.10808601539579898
500,750,election2020,labmix500_k1_bot,heldout,1,twibot20,0.0011999999999999789,-0.0010000000000000009,-0.0009733824154041226
500,750,election2020,labmix500_k1_cp,heldout,1,covid_political,-0.00033199999999999896,0.0,0.0
500,750,election2020,labmix500_k1_elec,target_only,1,election2020,0.00569200000000003,0.007000000000000006,0.007131757131757066
500,750,election2020,labmix500_k1_fb,heldout,1,facebook_page_reference,-0.0009680000000000799,0.0040000000000000036,0.003664532220543526
500,750,election2020,labmix500_k1_susp,heldout,1,ukr_rus_suspended,-0.0034120000000000816,-0.04899999999999993,-0.04531453752416925
500,750,election2020,labmix500_k2_cp-bot,heldout,2,"covid_political,twibot20",-0.0018339999999998913,0.0,0.0
500,750,election2020,labmix500_k2_cp-fb,heldout,2,"covid_political,facebook_page_reference",-0.0005059999999997844,0.0,0.0
500,750,election2020,labmix500_k2_cp-susp,heldout,2,"covid_political,ukr_rus_suspended",-0.0005139999999999034,0.0030000000000000027,0.003038491515566344
500,750,election2020,labmix500_k2_fb-bot,heldout,2,"facebook_page_reference,twibot20",-0.0007439999999999669,0.0010000000000000009,0.0009714549254727922
500,750,election2020,labmix500_k2_fb-susp,heldout,2,"facebook_page_reference,ukr_rus_suspended",0.0028479999999999617,0.0040000000000000036,0.0038507089153198004
500,750,election2020,labmix500_k2_susp-bot,heldout,2,"ukr_rus_suspended,twibot20",-0.000648000000000093,0.0010000000000000009,0.0009733824154041226
500,750,election2020,labmix500_k3_cp-fb-bot,heldout,3,"covid_political,facebook_page_reference,twibot20",0.0007599999999999829,0.0,0.0
500,750,election2020,labmix500_k3_cp-fb-susp,heldout,3,"covid_political,facebook_page_reference,ukr_rus_suspended",-0.0010260000000000824,-0.0010000000000000009,-0.0010108169256556332
500,750,election2020,labmix500_k3_cp-susp-bot,heldout,3,"covid_political,ukr_rus_suspended,twibot20",0.003822000000000103,0.0,0.0
500,750,election2020,labmix500_k3_fb-susp-bot,heldout,3,"facebook_page_reference,ukr_rus_suspended,twibot20",0.0012159999999999949,0.0,0.0
500,750,election2020,labmix500_k4_cp-fb-susp-bot,heldout,4,"covid_political,facebook_page_reference,ukr_rus_suspended,twibot20",0.0015280000000001959,0.007000000000000006,0.006746692368351903
500,750,election2020,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",0.0032040000000000957,0.0040000000000000036,0.003930858618018784
