target,method,n,best_model_from_discovery,uses_validation_query_labels,accuracy,auc,nll,accuracy_gain_over_fixed_best,episode_bootstrap_gain_ci_low,episode_bootstrap_gain_ci_high,fraction_not_best,selection_counts
covid_political,fixed_best,3072,ss_ukr_rus,False,0.8955078125,0.9572471336082176,0.30224188795663415,0.0,0.0,0.0,0.0,"{""ss_ukr_rus"": 3072}"
covid_political,u1_agreement,3072,ss_ukr_rus,False,0.9140625,0.9543134901258682,0.29558329977446174,0.0185546875,0.013020833333333334,0.0244140625,0.043294270833333336,"{""ss_covid"": 92, ""ss_covid_political"": 1, ""ss_election2020"": 39, ""ss_twibot20"": 1, ""ss_ukr_rus"": 2939}"
covid_political,raw_agreement,3072,ss_ukr_rus,False,0.751953125,0.9238727710865162,0.4156081363165833,-0.1435546875,-0.16569010416666666,-0.12174479166666667,0.23079427083333334,"{""ss_covid"": 111, ""ss_covid_political"": 97, ""ss_cp_hk"": 87, ""ss_election2020"": 75, ""ss_facebook_page_reference"": 39, ""ss_midterm"": 136, ""ss_twibot20"": 117, ""ss_ukr_rus"": 2363, ""ss_ukr_rus_suspended"": 47}"
covid_political,learned_stage_consensus,3072,ss_ukr_rus,False,0.8942057291666666,0.955844455295139,0.2984754666061948,-0.0013020833333333703,-0.007161458333333333,0.004557291666666667,0.12923177083333334,"{""ss_covid"": 237, ""ss_covid_political"": 1, ""ss_election2020"": 154, ""ss_twibot20"": 5, ""ss_ukr_rus"": 2675}"
covid_political,oracle_expert,3072,ss_ukr_rus,True,0.9879557291666666,0.9885598641854745,0.1895148559710654,0.09244791666666663,0.08203125,0.10286458333333333,0.09244791666666667,"{""ss_covid"": 114, ""ss_covid_political"": 27, ""ss_cp_hk"": 18, ""ss_election2020"": 63, ""ss_facebook_page_reference"": 14, ""ss_midterm"": 8, ""ss_twibot20"": 18, ""ss_ukr_rus"": 2788, ""ss_ukr_rus_suspended"": 22}"
election2020,fixed_best,256,ss_twibot20,False,0.97265625,0.9837646484375,0.10344892465057533,0.0,0.0,0.0,0.0,"{""ss_twibot20"": 256}"
election2020,u1_agreement,256,ss_twibot20,False,0.9765625,0.98382568359375,0.10206593264608083,0.00390625,0.0,0.01171875,0.00390625,"{""ss_covid"": 1, ""ss_twibot20"": 255}"
election2020,raw_agreement,256,ss_twibot20,False,0.94921875,0.982421875,0.1396292287020059,-0.0234375,-0.046875,-0.00390625,0.03125,"{""ss_covid"": 1, ""ss_cp_hk"": 2, ""ss_election2020"": 1, ""ss_facebook_page_reference"": 3, ""ss_twibot20"": 248, ""ss_ukr_rus_suspended"": 1}"
election2020,learned_stage_consensus,256,ss_twibot20,False,0.9765625,0.98388671875,0.1019811456547694,0.00390625,0.0,0.01171875,0.01953125,"{""ss_covid"": 5, ""ss_twibot20"": 251}"
election2020,oracle_expert,256,ss_twibot20,True,0.9921875,0.99127197265625,0.05979174136792226,0.01953125,0.00390625,0.0390625,0.01953125,"{""ss_covid"": 1, ""ss_covid_political"": 1, ""ss_cp_hk"": 2, ""ss_facebook_page_reference"": 1, ""ss_twibot20"": 251}"
